Source ,American Community Survey,,,
Note ,Education Attainment 2015,,,
URL ,https://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_15_5YR_S1501&prodType=table,,,
,,,,
Fips ,Geography ,Years ,Statistics ,Value 
18181,"White County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,573
18183,"Whitley County, Indiana",2015,Total; Estimate; Population 25 years and over - Less than 9th grade,537
0,United States,2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",16135225
18000,Indiana ,2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",351986
18001,"Adams County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1548
18003,"Allen County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",15953
18005,"Bartholomew County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",3511
18007,"Benton County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",549
18009,"Blackford County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",886
18011,"Boone County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1807
18013,"Brown County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",910
18015,"Carroll County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1069
18017,"Cass County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2727
18019,"Clark County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",6748
18021,"Clay County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1685
18023,"Clinton County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1562
18025,"Crawford County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",924
18027,"Daviess County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2322
18029,"Dearborn County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2268
18031,"Decatur County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1412
18033,"DeKalb County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2378
18035,"Delaware County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",5738
18037,"Dubois County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1746
18039,"Elkhart County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",13784
18041,"Fayette County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2191
18043,"Floyd County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",3811
18045,"Fountain County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",937
18047,"Franklin County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1350
18049,"Fulton County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1533
18051,"Gibson County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1659
18053,"Grant County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",4510
18055,"Greene County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2355
18057,"Hamilton County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",5252
18059,"Hancock County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2313
18061,"Harrison County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2379
18063,"Hendricks County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",4452
18065,"Henry County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",3281
18067,"Howard County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",4803
18069,"Huntington County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1980
18071,"Jackson County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2424
18073,"Jasper County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2025
18075,"Jay County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1551
18077,"Jefferson County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2065
18079,"Jennings County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2140
18081,"Johnson County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",5821
18083,"Knox County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2383
18085,"Kosciusko County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",5009
18087,"LaGrange County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1987
18089,"Lake County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",26016
18091,"LaPorte County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",7560
18093,"Lawrence County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2882
18095,"Madison County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",8504
18097,"Marion County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",60225
18099,"Marshall County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2677
18101,"Martin County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",832
18103,"Miami County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2784
18105,"Monroe County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",4209
18107,"Montgomery County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2300
18109,"Morgan County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",4460
18111,"Newton County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1015
18113,"Noble County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2820
18115,"Ohio County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",405
18117,"Orange County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1512
18119,"Owen County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1762
18121,"Parke County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1176
18123,"Perry County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1354
18125,"Pike County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",929
18127,"Porter County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",6741
18129,"Posey County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",842
18131,"Pulaski County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",831
18133,"Putnam County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2144
18135,"Randolph County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1608
18137,"Ripley County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1777
18139,"Rush County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1138
18141,"St. Joseph County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",14599
18143,"Scott County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1555
18145,"Shelby County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2823
18147,"Spencer County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1134
18149,"Starke County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1850
18151,"Steuben County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1804
18153,"Sullivan County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1582
18155,"Switzerland County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",784
18157,"Tippecanoe County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",6298
18159,"Tipton County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",840
18161,"Union County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",480
18163,"Vanderburgh County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",8733
18165,"Vermillion County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",947
18167,"Vigo County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",6611
18169,"Wabash County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1803
18171,"Warren County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",426
18173,"Warrick County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",2126
18175,"Washington County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1837
18177,"Wayne County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",5425
18179,"Wells County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1339
18181,"White County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1183
18183,"Whitley County, Indiana",2015,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",1566
